dataset,algorithm,number_of_classes,number_of_categories,train_size,test_size,cv_idx,accuracy,precision,recall,f1,auc,train_time,pred_time
heart,NB,2,0,243,27,3,0.8148148148148148,0.835185185185185,0.8148148148148148,0.8148148148148148,0.8250000000000001,0.016134262084960938,0.009961605072021484
heart,NB,2,0,243,27,4,0.8888888888888888,0.891941391941392,0.8888888888888888,0.8891954022988505,0.8916666666666666,0.023326635360717773,0.012854814529418945
heart,NB,2,0,243,27,5,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7750000000000001,0.033676862716674805,0.024989843368530273
heart,NB,2,0,243,27,6,0.8518518518518519,0.857516339869281,0.8518518518518519,0.8497474747474747,0.8416666666666667,0.022958993911743164,0.01448369026184082
heart,NB,2,0,243,27,7,0.9259259259259259,0.9365079365079365,0.9259259259259259,0.9261294261294261,0.9333333333333333,0.019034147262573242,0.009540081024169922
heart,NB,2,0,243,27,8,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.8500000000000001,0.022453784942626953,0.013841390609741211
heart,NB,2,0,243,27,9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.658008658008658,0.6500000000000001,0.021097183227539062,0.012116670608520508
heart,NB,2,0,243,27,10,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9249999999999999,0.025964975357055664,0.014756441116333008
heart,OB,2,0,243,27,1,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7000000000000001,1.0755014419555664,0.007242441177368164
heart,OB,2,0,243,27,2,0.8518518518518519,0.857516339869281,0.8518518518518519,0.8497474747474747,0.8416666666666667,1.0852508544921875,0.007182598114013672
heart,OB,2,0,243,27,3,0.7407407407407407,0.7442002442002441,0.7407407407407407,0.741455938697318,0.7416666666666667,1.1341626644134521,0.008718013763427734
heart,OB,2,0,243,27,4,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.8500000000000001,1.1059026718139648,0.007906436920166016
heart,OB,2,0,243,27,5,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7750000000000001,1.0517265796661377,0.007568359375
heart,OB,2,0,243,27,6,0.8888888888888888,0.9074074074074074,0.8888888888888888,0.886002886002886,0.875,1.204505443572998,0.007769584655761719
heart,OB,2,0,243,27,7,0.8888888888888888,0.891941391941392,0.8888888888888888,0.8891954022988505,0.8916666666666666,1.076298713684082,0.00733637809753418
heart,OB,2,0,243,27,8,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7750000000000001,1.0865912437438965,0.0077517032623291016
heart,OB,2,0,243,27,9,0.6296296296296297,0.6286549707602339,0.6296296296296297,0.6143790849673203,0.6083333333333334,1.0861167907714844,0.007956981658935547
heart,OB,2,0,243,27,10,1.0,1.0,1.0,1.0,1.0,1.365058183670044,0.007616758346557617
heart,SEVQ,2,103,243,27,1,0.7037037037037037,0.7130647130647132,0.7037037037037037,0.7045177045177046,0.7083333333333334,0.1904010772705078,0.0015511512756347656
heart,SEVQ,2,100,243,27,2,0.7037037037037037,0.7134502923976608,0.7037037037037037,0.6915032679738563,0.6833333333333333,0.1533505916595459,0.0012705326080322266
heart,SEVQ,2,106,243,27,3,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7000000000000001,0.1259162425994873,0.00101470947265625
heart,SEVQ,2,105,243,27,4,0.7777777777777778,0.7875457875457875,0.7777777777777778,0.7783882783882783,0.7833333333333334,0.2002263069152832,0.0018162727355957031
heart,SEVQ,2,103,243,27,5,0.7407407407407407,0.7469135802469137,0.7407407407407407,0.734006734006734,0.7250000000000001,0.19352221488952637,0.0016520023345947266
heart,SEVQ,2,108,243,27,6,0.7407407407407407,0.7398989898989898,0.7407407407407407,0.7392862708430732,0.7333333333333333,0.19065356254577637,0.0025119781494140625
heart,SEVQ,2,106,243,27,7,0.7777777777777778,0.7875457875457875,0.7777777777777778,0.7783882783882783,0.7833333333333334,0.15143513679504395,0.0011608600616455078
heart,SEVQ,2,119,243,27,8,0.8518518518518519,0.8620268620268621,0.8518518518518519,0.8522588522588521,0.8583333333333333,0.15752673149108887,0.0013751983642578125
heart,SEVQ,2,113,243,27,9,0.6666666666666666,0.6647727272727273,0.6666666666666666,0.664796633941094,0.6583333333333334,0.19558954238891602,0.0012726783752441406
heart,SEVQ,2,113,243,27,10,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9249999999999999,0.19543147087097168,0.0024290084838867188
heart,SFAM,2,139,243,27,1,0.6296296296296297,0.6540404040404041,0.6296296296296297,0.6275946275946276,0.6416666666666666,0.3902435302734375,0.0024271011352539062
heart,SFAM,2,143,243,27,2,0.8518518518518519,0.8830409356725147,0.8518518518518519,0.8457516339869281,0.8333333333333333,0.3718869686126709,0.0023491382598876953
heart,SFAM,2,141,243,27,3,0.7037037037037037,0.7134502923976608,0.7037037037037037,0.6915032679738563,0.6833333333333333,0.3848552703857422,0.0024080276489257812
heart,SFAM,2,134,243,27,4,0.6296296296296297,0.6286549707602339,0.6296296296296297,0.6143790849673203,0.6083333333333334,0.4651603698730469,0.003996133804321289
heart,SFAM,2,142,243,27,5,0.6666666666666666,0.6647727272727273,0.6666666666666666,0.664796633941094,0.6583333333333334,0.43692684173583984,0.0022590160369873047
heart,SFAM,2,145,243,27,6,0.7037037037037037,0.7134502923976608,0.7037037037037037,0.6915032679738563,0.6833333333333333,0.43006443977355957,0.0021414756774902344
heart,SFAM,2,145,243,27,7,0.7407407407407407,0.7592592592592593,0.7407407407407407,0.7407407407407407,0.7500000000000002,0.4466822147369385,0.002569913864135742
heart,SFAM,2,151,243,27,8,0.7407407407407407,0.7469135802469137,0.7407407407407407,0.734006734006734,0.7250000000000001,0.4687159061431885,0.002233743667602539
heart,SFAM,2,139,243,27,9,0.7777777777777778,0.7982456140350878,0.7777777777777778,0.7686274509803921,0.7583333333333334,0.4430532455444336,0.002330780029296875
