dataset,algorithm,number_of_classes,number_of_categories,train_size,test_size,cv_idx,accuracy,precision,recall,f1,auc,train_time,pred_time
coil2000,XGB,2,0,8840,982,6,0.9378818737270875,0.8851918808210715,0.9378818737270875,0.9107754611916226,0.49837662337662336,9.480538845062256,0.012636423110961914
coil2000,XGB,2,0,8840,982,7,0.9419551934826884,0.9453312689637974,0.9419551934826884,0.915705198154007,0.5169491525423728,10.699731826782227,0.08111906051635742
coil2000,XGB,2,0,8840,982,8,0.939918533604888,0.8834468498139629,0.939918533604888,0.9108081958186999,0.5,8.494239807128906,0.0014116764068603516
coil2000,XGB,2,0,8840,982,9,0.9378818737270875,0.8833316014796958,0.9378818737270875,0.9097897734630603,0.4989165763813651,16.141005754470825,0.04284834861755371
coil2000,XGB,2,0,8840,982,10,0.9409368635437881,0.9220928608504774,0.9409368635437881,0.9168589211062278,0.5243403051949245,8.132726669311523,0.010309219360351562
contraceptive,AB,3,0,1325,148,1,0.581081081081081,0.5888030124235262,0.581081081081081,0.584192339394004,0.6764958235546471,0.1563575267791748,0.010195493698120117
contraceptive,AB,3,0,1325,148,2,0.5608108108108109,0.5701608877456334,0.5608108108108109,0.5593154630039875,0.654664512201277,0.19781184196472168,0.009364128112792969
contraceptive,AB,3,0,1325,148,3,0.4797297297297297,0.47868141935938546,0.4797297297297297,0.4775197781381932,0.5905803093303094,0.15086841583251953,0.009168148040771484
contraceptive,AB,3,0,1326,147,4,0.5170068027210885,0.5267663553377839,0.5170068027210885,0.5172835235789232,0.622113780577166,0.10734152793884277,0.009040594100952148
contraceptive,AB,3,0,1326,147,5,0.54421768707483,0.5425422287559092,0.54421768707483,0.5391081818179498,0.6334559797945153,0.16430306434631348,0.025874853134155273
contraceptive,AB,3,0,1326,147,6,0.6122448979591837,0.6081626198866644,0.6122448979591837,0.6094745554941847,0.6938996377771888,0.19421124458312988,0.012495994567871094
contraceptive,AB,3,0,1326,147,7,0.5238095238095238,0.5212327355184498,0.5238095238095238,0.5127794707626641,0.6172365049916072,0.1735975742340088,0.013335943222045898
contraceptive,AB,3,0,1326,147,8,0.5850340136054422,0.5978028539604894,0.5850340136054422,0.5849409033941192,0.675576724196172,0.18802833557128906,0.00993037223815918
contraceptive,AB,3,0,1326,147,9,0.5510204081632653,0.5789379933157932,0.5510204081632653,0.5597270432626129,0.6576188917125293,0.16535425186157227,0.01000523567199707
contraceptive,AB,3,0,1326,147,10,0.4965986394557823,0.4880345672271138,0.4965986394557823,0.4902046294937847,0.6015070006497222,0.13383913040161133,0.009560108184814453
contraceptive,DT,3,0,1325,148,1,0.5472972972972973,0.5501973545451806,0.5472972972972973,0.5477887151379596,0.6526922142730968,0.001264810562133789,0.0001163482666015625
contraceptive,DT,3,0,1325,148,2,0.5743243243243243,0.5900467775467776,0.5743243243243243,0.5745731505899808,0.6692761564085093,0.0014812946319580078,0.00014400482177734375
contraceptive,DT,3,0,1325,148,3,0.4527027027027027,0.49158061684124155,0.4527027027027027,0.4537684926793838,0.5885151353901353,0.0017173290252685547,0.00016355514526367188
contraceptive,DT,3,0,1326,147,4,0.5306122448979592,0.5301348609619286,0.5306122448979592,0.5289493575207861,0.630302770458833,0.001283407211303711,0.00012874603271484375
contraceptive,DT,3,0,1326,147,5,0.5850340136054422,0.5597759698260545,0.5850340136054422,0.5605042016806724,0.6521192892741514,0.0021371841430664062,0.00021767616271972656
contraceptive,DT,3,0,1326,147,6,0.564625850340136,0.5659682054640037,0.564625850340136,0.5618243052127345,0.6553504518690594,0.0016758441925048828,0.0001704692840576172
contraceptive,DT,3,0,1326,147,7,0.5510204081632653,0.5690149136577707,0.5510204081632653,0.5536045192002296,0.6544981629015244,0.0014641284942626953,0.00013899803161621094
contraceptive,DT,3,0,1326,147,8,0.5918367346938775,0.6097545311831025,0.5918367346938775,0.5968635638821813,0.6912167464388355,0.0016095638275146484,0.00015616416931152344
contraceptive,DT,3,0,1326,147,9,0.5986394557823129,0.5978531464207274,0.5986394557823129,0.5956481890278217,0.6930044745170795,0.0014231204986572266,0.0001251697540283203
contraceptive,DT,3,0,1326,147,10,0.5578231292517006,0.5565090136518708,0.5578231292517006,0.5454997673960731,0.6415714135116412,0.001771688461303711,0.00017690658569335938
contraceptive,GNB,3,0,1325,148,1,0.44594594594594594,0.4888054430737358,0.44594594594594594,0.45194906444906446,0.5946340247810836,0.0010385513305664062,0.00023055076599121094
contraceptive,GNB,3,0,1325,148,2,0.5540540540540541,0.6054376123889529,0.5540540540540541,0.555998891394931,0.6823930022459435,0.001226186752319336,0.0002627372741699219
contraceptive,GNB,3,0,1325,148,3,0.47297297297297297,0.5004476018626962,0.47297297297297297,0.46871324128506076,0.6224133646008646,0.0011875629425048828,0.0002646446228027344
contraceptive,GNB,3,0,1326,147,4,0.43537414965986393,0.5043381286941006,0.43537414965986393,0.4436035812501293,0.5917808681914326,0.0014119148254394531,0.00026416778564453125
contraceptive,GNB,3,0,1326,147,5,0.4489795918367347,0.491654286235567,0.4489795918367347,0.4472385600871162,0.6020577061993629,0.001085042953491211,0.00024175643920898438
contraceptive,GNB,3,0,1326,147,6,0.48299319727891155,0.5208828388195151,0.48299319727891155,0.4847788054321282,0.6281577566091373,0.0015854835510253906,0.0003600120544433594
contraceptive,GNB,3,0,1326,147,7,0.46938775510204084,0.509423124088345,0.46938775510204084,0.46440117355738414,0.618087494738155,0.0011899471282958984,0.0002675056457519531
contraceptive,GNB,3,0,1326,147,8,0.46938775510204084,0.4921168467386955,0.46938775510204084,0.46971169420149006,0.6137377028733572,0.0013248920440673828,0.0002887248992919922
contraceptive,GNB,3,0,1326,147,9,0.46938775510204084,0.5417675134569957,0.46938775510204084,0.463372954750968,0.6325725095232898,0.0011577606201171875,0.0002582073211669922
contraceptive,GNB,3,0,1326,147,10,0.46938775510204084,0.503779130699899,0.46938775510204084,0.47627039145912176,0.6066612128722457,0.0014204978942871094,0.0003180503845214844
contraceptive,KNN,3,0,1325,148,1,0.5202702702702703,0.5081344017037922,0.5202702702702703,0.5125929379660722,0.6170682236858708,0.0021600723266601562,0.009327888488769531
