AEE,ARF,DWM,EFDT,EVQ,HAT,HT,KNNI,LVQ,LVQ2,LVQ2.1,LVQ3,NB,OB,SEVQ,SFAM
0.55,0.5166666666666666,0.5666666666666667,0.5,0.5916666666666668,0.5,0.5,0.7000000000000001,0.6416666666666666,0.5416666666666667,0.55,0.5333333333333333,0.5166666666666667,0.675,0.6333333333333334,0.7166666666666668
0.525,0.4916666666666666,0.5833333333333334,0.5,0.5583333333333333,0.5,0.5,0.7000000000000002,0.43333333333333335,0.4583333333333334,0.6666666666666666,0.475,0.5666666666666667,0.75,0.7750000000000001,0.6083333333333334
0.6547017973856208,0.5568218954248367,0.6293035130718955,0.6547017973856208,0.5618913398692811,0.6455861928104577,0.6547017973856208,0.5548611111111112,0.5489052287581702,0.5958517156862746,0.5699142156862746,0.5858047385620917,0.6547017973856208,0.5948080065359478,0.5618913398692811,0.58843545751634
0.6579202586206898,0.5120689655172415,0.6107758620689656,0.6579202586206898,0.6586745689655173,0.6667025862068967,0.6579202586206898,0.6463362068965519,0.5215517241379312,0.5342672413793105,0.551939655172414,0.5401131465517243,0.6579202586206898,0.7081896551724141,0.6088092672413794,0.550053879310345
0.6728799019607843,0.5261458333333334,0.6412111928104577,0.6728799019607843,0.6003962418300655,0.6451021241830066,0.6728799019607843,0.6444791666666667,0.5316299019607844,0.8278472222222223,0.6233333333333333,0.5931576797385621,0.6728799019607843,0.6443913398692811,0.6003962418300655,0.5631903594771241
0.5948275862068966,0.5710693760262727,0.5969827586206898,0.5668103448275863,0.6763136288998359,0.6279248768472908,0.5668103448275863,0.5986247947454846,0.5524938423645321,0.5248101395730707,0.5070043103448277,0.5583435960591133,0.5668103448275863,0.5479782430213466,0.6763136288998359,0.6426005747126438
0.6514980158730157,0.5957341269841269,0.6514980158730157,0.6514980158730157,0.5868055555555555,0.6064087301587301,0.6514980158730157,0.5685019841269842,0.6254960317460316,0.6022718253968253,0.5861309523809524,0.5190178571428572,0.6514980158730157,0.5825198412698414,0.5682341269841271,0.5575992063492062
0.6168836805555555,0.5272916666666667,0.6498697916666666,0.6168836805555555,0.6952256944444444,0.5,0.6168836805555555,0.6190538194444444,0.5822916666666665,0.5996354166666666,0.5553472222222223,0.5755208333333333,0.6168836805555555,0.6179079861111111,0.6460590277777777,0.6284982638888887
0.5983159722222222,0.5352517361111111,0.6318923611111109,0.5983159722222222,0.5744444444444444,0.6234895833333333,0.5983159722222222,0.5749826388888888,0.6331944444444444,0.61109375,0.5482638888888889,0.5207638888888888,0.5983159722222222,0.5562760416666667,0.5758333333333332,0.6166319444444445
0.6453776041666667,0.5883835565476191,0.6644345238095237,0.5,0.6299107142857142,0.7422433035714284,0.5,0.6169642857142856,0.656538318452381,0.6226097470238094,0.6072916666666667,0.7053199404761905,0.6453776041666667,0.6197916666666666,0.6163783482142856,0.6629650297619047
